I, [2014-06-18T03:46:21.627355 #13345]  INFO -- : Migrating to CreatePlaceInstances (20140617061510)
W, [2014-06-18T03:47:10.049529 #13368]  WARN -- : Warning. Error encountered while saving cache 918b873585ec24d711b471f39bf5c4606b058eff/custom.css.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.063545 #13368]  WARN -- : Warning. Error encountered while saving cache 15559c5f1bea60f6f5dc8f622233ac05454d8572/bootstrap.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.070979 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/bootstrap.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.181735 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/_variables.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.434275 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/_mixins.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.482650 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/_reset.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.507002 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/_scaffolding.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.524799 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/_grid.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.582510 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/_layouts.scssc: can't dump anonymous class #<Class:0x0000000445f778>

W, [2014-06-18T03:47:10.648005 #13368]  WARN -- : Warning. Error encountered while saving cache aac3e1a6631a49f335e10312dfffc7e39e455a28/_type.scssc: can't dump anonymous class #<Class:0x0000000445f778>

